physical address,number of rooms,area of apartment,number of floors,apartment floor,price,repair,bathroom,view from the windows,terrace,year of construction,elevator,type of house,parking,link
"Москва, 2-я Пугачёвская ул., 7к1",студия,15 м²,12,1,4980000,евро,совмещенный,,,1971.0,1,блочный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_15_m_112_et._4611714558?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Свободы, 95к2",студия,12 м²,12,1,3650000,косметический,совмещенный,во двор,,1984.0,2,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_112_et._4605765338?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Вертолётчиков, 2Ак2",3,77.5 м²,24,21,16000000,косметический,раздельный,"во двор, на улицу",лоджия,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_775_m_2124_et._4414920714?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Люблинская ул., 179/1",4,99 м²,21,21,32000000,дизайнерский,раздельный,,лоджия,,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_99_m_2121_et._4063222290?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-я Владимирская ул., 24к2",1,13.9 м²,5,1,3899999,требует ремонта,совмещенный,во двор,,1957.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_139_m_15_et._4643571002?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Анатолия Живова, 10",студия,15.4 м²,5,1,4950000,евро,совмещенный,"во двор, на солнечную сторону",,1929.0,1,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_154_m_15_et._4580842083?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Котляковская, 7/4",2,56.7 м²,37,27,15677550,,,,,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_567_m_2737_et._4961926255?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Щёлковское ш., 95к1",1,38.8 м²,22,18,11280000,косметический,раздельный,на улицу,балкон,2001.0,2,панельный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_388_m_1822_et._4666922739?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-й Грайвороновский пр., 7Ак1",студия,19.6 м²,23,6,10200000,дизайнерский,совмещенный,на улицу,,2022.0,2,монолитный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_196_m_623_et._4152627980?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ленинградское ш., 102",1,31.8 м²,9,7,9750000,требует ремонта,совмещенный,на улицу,балкон,,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_318_m_79_et._4285062147?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пос. Московский, дер. Саларьево, ул. Саларьевская, д. 9",1,34.1 м²,16,9,6300100,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_341_m_916_et._4510450448?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Руновский пер., 5с2",студия,19.4 м²,4,3,5990000,требует ремонта,совмещенный,во двор,,2006.0,1,монолитный,,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_194_m_34_et._4481105722?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Остоженка, 5",студия,22 м²,7,2,10700000,евро,совмещенный,,,1914.0,1,кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_22_m_27_et._4102815860?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Академика Виноградова, 8",студия,19 м²,9,1,5300000,евро,совмещенный,во двор,,1975.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_19_m_19_et._4470518638?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Отрадная ул., 11",студия,17.5 м²,9,1,4350000,требует ремонта,совмещенный,во двор,лоджия,1979.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/dolya_v_kvartira-studii_175_m_19_et._3902428849?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-й Красногвардейский пр., 22с2",2,60.9 м²,78,24,36540000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",,,4,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_609_m_2478_et._3797976653?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Стасовой, 4",3,85.2 м²,18,5,48824000,дизайнерский,совмещенный,во двор,,1996.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_852_m_518_et._4698803243?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Автозаводская ул., 13/1",студия,12.1 м²,5,5,3003000,косметический,совмещенный,на солнечную сторону,,1927.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_121_m_55_et._4850319752?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Обручева, 37",1,36.1 м²,12,2,10200000,косметический,,,,1965.0,,блочный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_361_m_212_et._4427844296?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ильменский пр., 14к3",3,88.5 м²,45,15,24680000,дизайнерский,совмещенный,во двор,,2021.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_885_m_1545_et._4515688839?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Филёвская ул., 3к3",3,75 м²,20,3,44500000,дизайнерский,"совмещенный, раздельный",на улицу,балкон,2020.0,нет,панельный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_320_et._4542218529?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Никитская ул., 31",3,71 м²,7,7,52500000,евро,совмещенный,на улицу,,1900.0,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_71_m_77_et._2669653962?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Петровка, 17с3",студия,17.2 м²,5,2,12800000,евро,совмещенный,,,1909.0,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_172_m_25_et._4456671243?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Зеленоград, к360",2,47 м²,9,5,9200000,косметический,раздельный,на улицу,лоджия,,,панельный,,https://www.avito.ru/moskva_zelenograd/kvartiry/2-k._kvartira_47_m_59_et._3993911770?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ш. Энтузиастов, 11",студия,11.4 м²,3,3,2442000,косметический,совмещенный,во двор,,1914.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_114_m_33_et._4573835599?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Дорогомиловская ул., 4",2,101.6 м²,14,8,43120000,дизайнерский,совмещенный,во двор,,1955.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_1016_m_814_et._4539000837?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Чусовская ул., 11к1",студия,12 м²,9,1,3749000,евро,совмещенный,,,1967.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._4710047640?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Кутузовский пр-т, 33",3,88.7 м²,8,7,50172000,дизайнерский,совмещенный,во двор,,1937.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_887_m_78_et._4713954753?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, пр-т Лихачёва, 18к2",2,46.5 м²,20,18,26000000,требует ремонта,"совмещенный, раздельный","во двор, на улицу",лоджия,,,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_465_m_1820_et._4641829377?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Муравская ул., 38к1",1,36.5 м²,25,21,12100000,дизайнерский,совмещенный,во двор,балкон,2019.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_365_m_2125_et._4563672303?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Викторенко, 11",2,63.6 м²,15,8,26300000,дизайнерский,совмещенный,,,2018.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_636_m_815_et._4844161862?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Рублёвское ш., 12к1",4,108.6 м²,16,8,32500000,требует ремонта,"совмещенный, раздельный",во двор,лоджия,,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1086_m_816_et._4252867656?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 6-я Радиальная ул., 7/1к2",студия,21 м²,20,2,4700000,требует ремонта,совмещенный,во двор,,2023.0,1,монолитный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_21_m_220_et._4643543223?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Скаковая ул., 34к3",студия,17 м²,16,1,5600000,требует ремонта,совмещенный,во двор,,1978.0,1,блочный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/dolya_v_kvartira-studii_17_m_116_et._4452276782?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 6-я Радиальная ул., 7/1к2",студия,21 м²,20,2,4700000,требует ремонта,совмещенный,во двор,,2023.0,1,монолитный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_21_m_220_et._4605621750?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Красный Казанец, 7",студия,11.7 м²,9,1,3700000,требует ремонта,совмещенный,во двор,,1970.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_117_m_19_et._4581092756?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Осташковская ул., 9к1",3,90.2 м²,4,2,21500000,требует ремонта,раздельный,"во двор, на улицу",балкон,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_902_m_24_et._4415307473?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Люблинская ул., 179/1",4,99 м²,21,21,32000000,дизайнерский,раздельный,,лоджия,,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_99_m_2121_et._4063222290?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-я Владимирская ул., 24к2",1,13.9 м²,5,1,3899999,требует ремонта,совмещенный,во двор,,1957.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_139_m_15_et._4643571002?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Анатолия Живова, 10",студия,15.4 м²,5,1,4950000,евро,совмещенный,"во двор, на солнечную сторону",,1929.0,1,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_154_m_15_et._4580842083?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Котляковская, 7/4",2,56.7 м²,37,27,15677550,,,,,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_567_m_2737_et._4961926255?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Щёлковское ш., 95к1",1,38.8 м²,22,18,11280000,косметический,раздельный,на улицу,балкон,2001.0,2,панельный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_388_m_1822_et._4666922739?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-й Грайвороновский пр., 7Ак1",студия,19.6 м²,23,6,10200000,дизайнерский,совмещенный,на улицу,,2022.0,2,монолитный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_196_m_623_et._4152627980?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ленинградское ш., 102",1,31.8 м²,9,7,9750000,требует ремонта,совмещенный,на улицу,балкон,,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_318_m_79_et._4285062147?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пос. Московский, дер. Саларьево, ул. Саларьевская, д. 9",1,34.1 м²,16,9,6300100,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_341_m_916_et._4510450448?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Руновский пер., 5с2",студия,19.4 м²,4,3,5990000,требует ремонта,совмещенный,во двор,,2006.0,1,монолитный,,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_194_m_34_et._4481105722?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Остоженка, 5",студия,22 м²,7,2,10700000,евро,совмещенный,,,1914.0,1,кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_22_m_27_et._4102815860?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Академика Виноградова, 8",студия,19 м²,9,1,5300000,евро,совмещенный,во двор,,1975.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_19_m_19_et._4470518638?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Отрадная ул., 11",студия,17.5 м²,9,1,4350000,требует ремонта,совмещенный,во двор,лоджия,1979.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/dolya_v_kvartira-studii_175_m_19_et._3902428849?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-й Красногвардейский пр., 22с2",2,60.9 м²,78,24,36540000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",,,4,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_609_m_2478_et._3797976653?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Стасовой, 4",3,85.2 м²,18,5,48824000,дизайнерский,совмещенный,во двор,,1996.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_852_m_518_et._4698803243?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Автозаводская ул., 13/1",студия,12.1 м²,5,5,3003000,косметический,совмещенный,на солнечную сторону,,1927.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_121_m_55_et._4850319752?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Обручева, 37",1,36.1 м²,12,2,10200000,косметический,,,,1965.0,,блочный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_361_m_212_et._4427844296?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ильменский пр., 14к3",3,88.5 м²,45,15,24680000,дизайнерский,совмещенный,во двор,,2021.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_885_m_1545_et._4515688839?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Филёвская ул., 3к3",3,75 м²,20,3,44500000,дизайнерский,"совмещенный, раздельный",на улицу,балкон,2020.0,нет,панельный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_320_et._4542218529?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Никитская ул., 31",3,71 м²,7,7,52500000,евро,совмещенный,на улицу,,1900.0,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_71_m_77_et._2669653962?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Петровка, 17с3",студия,17.2 м²,5,2,12800000,евро,совмещенный,,,1909.0,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_172_m_25_et._4456671243?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Зеленоград, к360",2,47 м²,9,5,9200000,косметический,раздельный,на улицу,лоджия,,,панельный,,https://www.avito.ru/moskva_zelenograd/kvartiry/2-k._kvartira_47_m_59_et._3993911770?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ш. Энтузиастов, 11",студия,11.4 м²,3,3,2442000,косметический,совмещенный,во двор,,1914.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_114_m_33_et._4573835599?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Дорогомиловская ул., 4",2,101.6 м²,14,8,43120000,дизайнерский,совмещенный,во двор,,1955.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_1016_m_814_et._4539000837?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Чусовская ул., 11к1",студия,12 м²,9,1,3749000,евро,совмещенный,,,1967.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._4710047640?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Кутузовский пр-т, 33",3,88.7 м²,8,7,50172000,дизайнерский,совмещенный,во двор,,1937.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_887_m_78_et._4713954753?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, пр-т Лихачёва, 18к2",2,46.5 м²,20,18,26000000,требует ремонта,"совмещенный, раздельный","во двор, на улицу",лоджия,,,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_465_m_1820_et._4641829377?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Муравская ул., 38к1",1,36.5 м²,25,21,12100000,дизайнерский,совмещенный,во двор,балкон,2019.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_365_m_2125_et._4563672303?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Викторенко, 11",2,63.6 м²,15,8,26300000,дизайнерский,совмещенный,,,2018.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_636_m_815_et._4844161862?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Рублёвское ш., 12к1",4,108.6 м²,16,8,32500000,требует ремонта,"совмещенный, раздельный",во двор,лоджия,,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1086_m_816_et._4252867656?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 6-я Радиальная ул., 7/1к2",студия,21 м²,20,2,4700000,требует ремонта,совмещенный,во двор,,2023.0,1,монолитный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_21_m_220_et._4643543223?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Скаковая ул., 34к3",студия,17 м²,16,1,5600000,требует ремонта,совмещенный,во двор,,1978.0,1,блочный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/dolya_v_kvartira-studii_17_m_116_et._4452276782?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 6-я Радиальная ул., 7/1к2",студия,21 м²,20,2,4700000,требует ремонта,совмещенный,во двор,,2023.0,1,монолитный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_21_m_220_et._4605621750?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Красный Казанец, 7",студия,11.7 м²,9,1,3700000,требует ремонта,совмещенный,во двор,,1970.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_117_m_19_et._4581092756?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Осташковская ул., 9к1",3,90.2 м²,4,2,21500000,требует ремонта,раздельный,"во двор, на улицу",балкон,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_902_m_24_et._4415307473?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ходынский б-р, 20А",2,47.6 м²,15,11,21500000,евро,совмещенный,,лоджия,,3,кирпичный,,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_476_m_1115_et._4222618334?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-д 2-й Иртышский, корп. 1.5",студия,25.3 м²,26,22,7327790,,,,,,1,монолитный,,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_253_m_2226_et._5025966642?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. 50 лет Октября, 23к1",1,15.1 м²,9,1,3599000,требует ремонта,совмещенный,во двор,лоджия,1969.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_151_m_19_et._4644123000?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Окружной пр., 10Б",2,33.3 м²,24,13,16300000,дизайнерский,совмещенный,на улицу,,2023.0,3,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_333_m_1324_et._4666872031?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
